,store_name,street_address,borough,zip_code,bbl,latitude,longitude
97,Brianelly,2308,Bronx,10458,2030530062.0,40.855606,-73.892808
98,Emerald Food Store,2709-11,Bronx,10458,2033000055.0,40.866359,-73.891673
99,Bx Supermarket/Compare Foods,312,Bronx,10458,2032870008.0,40.864421,-73.891799
100,1030 Deli & Food Corp,1030,Bronx,10460,2030050065.0,40.840342,-73.88087
101,"Kelvin Food Mart, Inc",724,Bronx,10458,2031020029.0,40.853863,-73.883499
102,Stop One,2431,Bronx,10458,,40.856754,-73.887821
103,A-Mart,2433,Bronx,10458,2030580105.0,40.857023,-73.887585
104,Modern Food,2385,Bronx,10458,2030650033.0,40.855237,-73.887849
105,Mickey & Elvis College,717,Bronx,10458,2031050058.0,40.854025,-73.883997
106,Bronx Zoo Deli Corp,732,Bronx,10460,2031020030.0,40.853821,-73.883351
107,548 Gourmet Deli,548,Bronx,10458,2030510031.0,40.854186,-73.891042
108,Danery's Grocery Corp.,765,Bronx,10460,2029530001.0,40.841486,-73.891125
109,Will Grocery & Meat Market,1492,Bronx,10460,2029950017.0,40.833029,-73.888186
110,A & G Gourmet Deli,2132,Bronx,10460,2031240043.0,40.84641,-73.882688
111,Caña Arriba,1465,Bronx,10460,2029950042.0,40.831953,-73.887823
112,885 East Tremont Deli,885,Bronx,10460,2031210002.0,40.842463,-73.885123
113,Pioneer Supermarket,2865,Bronx,10458,,,
114,Compare Foods,4800,Bronx,10458,,,
115,Tejada Castillo Food Corporation,1675,Bronx,10458,2029400065.0,40.836404,-73.889409
116,Tony's Family,526,Bronx,10458,2030500066.0,40.854678,-73.891945
117,Compare Foods,2477,Bronx,10458,2031530031.0,40.86156,-73.896196
118,20/20 Deli,1120,Bronx,10459,2027450001.0,40.827058,-73.891896
119,543 Deli,543,Bronx,10455,2026830001.0,40.812296,-73.90361
120,908 Garcia Fruit and Grocery,908,Bronx,10459,2026960103.0,40.821006,-73.898026
121,Alan Deli Grocery,798,Bronx,10459,2029630012.0,40.833138,-73.89559
122,Amelia Grocery,954,Bronx,10459,2026900105.0,40.822696,-73.900354
123,Asociados Meat Market,1025,Bronx,10459,2027260070.0,40.824114,-73.893017
124,Associated Supermarket,1334,Bronx,10459,2029767501.0,40.831441,-73.892279
125,Celia,966,Bronx,10459,2027080046.0,40.817424,-73.898101
126,Crystal Grocery,1090,Bronx,10459,2027570066.0,40.826005,-73.887826
127,Deli Farm Meat and Grocery,850,Bronx,10459,2026880048.0,40.819376,-73.901378
128,El Patio Grocery,643,Bronx,10455,,,
129,Fair Farm,950,Bronx,10459,2027037501.0,40.822388,-73.896326
130,Genao Food Store,926,Bronx,10459,2027030001.0,40.819986,-73.896695
131,Home Street Deli,-892,Bronx,10459,,,
132,Ivoire African Market,1339,Bronx,10459,2029680008.0,40.829569,-73.897522
