,store_name,street_address,borough,zip_code,bbl,latitude,longitude
343,.NYC Fresh Market,1660,New York,10029,1016160001.0,40.796457,-73.947439
344,Puchito Grocery,2122,New York,10029,1016810001.0,40.792642,-73.940956
345,Raspberry Deli,2127,New York,10029,1016590023.0,40.792853,-73.940822
346,East Harlem Grocery,85 E,New York,10029,1016160035.0,40.795771,-73.946725
347,Sun & Moon Deli,142,New York,10029,1016390057.0,40.796145,-73.943676
348,Garden Gourmet,2019,New York,10029,1016767504.0,40.788417,-73.94096
349,2037 Meat & Grocery,2037,New York,10029,1016540027.0,40.789717,-73.943111
350,Oxford 2 Deli Grocery,2024,New York,10029,1016760001.0,40.789379,-73.943332
351,Fine Fare Supermarket,1891,New York,10029,1016540045.0,40.790544,-73.94541100000001
352,Asunan Inc.,1665,New York,10029,1016320053.0,40.79131,-73.946949
353,1705 Deli Grocery,1705,New York,10029,1016340049.0,40.792765,-73.945886
354,Lex & 103rd Inc.,1629,New York,10029,1016300053.0,40.790216,-73.947744
355,Ranch Market,1635,New York,10029,1016317501.0,40.790501,-73.947538
356,Uptown Supermarket,1588,New York,10029,1016120001.0,40.793982,-73.949243
357,El Tepeyac,1621,New York,10029,1016300021.0,40.789922,-73.947961
358,Super Fi Emporium,1635,New York,10029,1016317501.0,40.790501,-73.947538
359,Manhattan Haat Baazar,165,New York,10029,1016340031.0,40.791966,-73.945594
360,Cappellan Deli Grocery,1626,New York,10029,1016210035.0,40.798843,-73.943587
361,Third Avenue Gourmet,2105,New York,10029,1016650001.0,40.797447,-73.94037
362,Cherry Valley Supermarket,309,New York,10029,1016870005.0,40.796167,-73.937941
363,El Barrio Superette,1858,New York,10029,1016430015.0,40.798118,-73.942006
364,New King Deli Grocery Corp.,23,New York,10029,1016210013.0,40.799415,-73.945645
365,Little Mexico Meat Grocery,2119,New York,10029,1016650050.0,40.797752,-73.94015
366,Paniagua Deli Grocery,203,New York,10029,1016650104.0,40.797233,-73.940432
367,JJ Food Market,153,New York,10029,1016270023.0,40.787686,-73.94923
