,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
507,Non Prevailing Wage,0,6,0,0,0,70518
508,Non Prevailing Wage,1,0,0,0,0,70476
509,Non Prevailing Wage,0,48,0,0,0,70517
510,Non Prevailing Wage,0,3,0,0,0,70566
511,Non Prevailing Wage,0,5,0,0,0,70569
512,Non Prevailing Wage,15,0,0,0,0,67672
513,Non Prevailing Wage,25,0,0,0,0,67672
514,Non Prevailing Wage,8,0,0,0,0,67672
515,Non Prevailing Wage,15,0,0,0,0,67672
516,Non Prevailing Wage,10,0,0,0,0,67672
517,Non Prevailing Wage,0,8,0,0,0,70516
518,Non Prevailing Wage,1,0,11,1,3,70078
519,Non Prevailing Wage,0,14,0,0,0,70515
520,Non Prevailing Wage,1,0,0,0,0,70474
521,Non Prevailing Wage,0,86,0,0,0,70512
522,Non Prevailing Wage,0,3,0,0,0,70513
523,Non Prevailing Wage,0,3,0,0,0,70514
524,Non Prevailing Wage,0,47,0,0,0,70511
525,Non Prevailing Wage,0,34,0,0,0,70509
